,drive_gear_V_eff,drive_gear_a_max,drive_motor_V_eff,drive_motor_a_max,drive_wheel_V_eff,drive_wheel_a_max,idle_wheel_V_eff,idle_wheel_a_max,lifting_gear_V_eff,lifting_gear_a_max,lifting_motor_V_eff,lifting_motor_a_max
drive_gear_V_eff,1.0,0.030083178870806592,0.3805562630008243,0.15438257790687474,0.2990645888608582,-0.13677255372141067,0.2448554420453055,0.1103554270554601,0.1020156977034881,0.060262123703552925,-0.08036958360549036,0.03623686492585198
drive_gear_a_max,0.030083178870806592,1.0,-0.0074502536977127335,0.22049028040366217,0.10470974668360267,-0.25462598088115596,0.18569738948856265,0.10289620660256614,0.1895631941748243,0.13378739274557647,0.036539938712187206,0.0717236707084941
drive_motor_V_eff,0.3805562630008243,-0.0074502536977127335,1.0,-0.04780394305453056,0.06358421662206938,-0.13023692088086933,0.1736923276737298,0.09150465821232923,0.021780927309827596,-0.06277455237175247,-0.060209355535713834,-0.06941227219347232
drive_motor_a_max,0.15438257790687474,0.22049028040366217,-0.04780394305453056,1.0,0.30624784259257526,-0.04958797300749433,0.22003054890397764,0.08047966194548783,-0.054211260950353606,0.06963103169843098,-0.1610199935466473,0.13279502134355695
drive_wheel_V_eff,0.2990645888608582,0.10470974668360267,0.06358421662206938,0.30624784259257526,1.0,0.01982462521009433,0.3107293386629651,0.17020460649346708,0.1301083543641543,-0.02517023760311042,-0.0009186854655363968,0.0878915986172016
drive_wheel_a_max,-0.13677255372141067,-0.25462598088115596,-0.13023692088086933,-0.04958797300749433,0.01982462521009433,1.0,-0.04430726565529252,0.047713896024144525,-0.04305575465045425,0.11165059230573793,0.26543458514849705,0.14154602734848507
idle_wheel_V_eff,0.2448554420453055,0.18569738948856265,0.1736923276737298,0.22003054890397764,0.3107293386629651,-0.04430726565529252,1.0,0.12412852441993899,0.2698068614066237,-0.01703305061096072,0.009391890175417071,0.03665768800235347
idle_wheel_a_max,0.1103554270554601,0.10289620660256614,0.09150465821232923,0.08047966194548783,0.17020460649346708,0.047713896024144525,0.12412852441993899,1.0,0.27938077574290987,0.20212444712360106,0.3017956863713979,0.1091561648568162
lifting_gear_V_eff,0.1020156977034881,0.1895631941748243,0.021780927309827596,-0.054211260950353606,0.1301083543641543,-0.04305575465045425,0.2698068614066237,0.27938077574290987,1.0,0.13138971762263407,0.5038053516887248,0.023562409362940753
lifting_gear_a_max,0.060262123703552925,0.13378739274557647,-0.06277455237175247,0.06963103169843098,-0.02517023760311042,0.11165059230573793,-0.01703305061096072,0.20212444712360106,0.13138971762263407,1.0,0.20596323913570488,0.6935056568537508
lifting_motor_V_eff,-0.08036958360549036,0.036539938712187206,-0.060209355535713834,-0.1610199935466473,-0.0009186854655363968,0.26543458514849705,0.009391890175417071,0.3017956863713979,0.5038053516887248,0.20596323913570488,1.0,-0.0043271725224955935
lifting_motor_a_max,0.03623686492585198,0.0717236707084941,-0.06941227219347232,0.13279502134355695,0.0878915986172016,0.14154602734848507,0.03665768800235347,0.1091561648568162,0.023562409362940753,0.6935056568537508,-0.0043271725224955935,1.0
