machine_name,date_measurement_f,drive_gear_V_eff,drive_gear_a_max,drive_motor_V_eff,drive_motor_a_max,drive_wheel_V_eff,drive_wheel_a_max,idle_wheel_V_eff,idle_wheel_a_max,lifting_gear_V_eff,lifting_gear_a_max,lifting_motor_V_eff,lifting_motor_a_max,cluster
RBG1,2016-09-02,1.62,1509.089,4.066,1238.4,2.997,1487.513,3.728,2597.481,1.375,995.0219999999999,2.221,1416.08,2.0
RBG1,2016-09-06,1.956,1694.223,4.435,1278.958,3.0580000000000003,1473.629,4.019,2525.038,1.6540000000000001,3169.3190000000004,2.44,1718.8210000000001,2.0
RBG1,2016-09-07,1.8969999999999998,1471.34,4.465,1244.577,3.114,1646.066,4.082,2654.81,1.649,2670.362,2.469,1714.56,2.0
RBG1,2016-09-08,2.013,1425.854,4.467,1238.775,3.1289999999999996,1791.672,3.947,2743.369,1.6769999999999998,2768.116,2.441,1652.309,2.0
RBG1,2016-09-09,2.06,1775.5739999999998,4.4910000000000005,1510.046,3.142,1642.317,4.063,2841.3070000000002,1.67,2290.333,2.4730000000000003,1526.07,2.0
RBG1,2016-09-12,1.8519999999999999,1501.651,4.512,1282.163,3.089,1898.39,3.972,2893.574,1.639,2623.974,2.463,1577.957,2.0
RBG1,2016-09-13,2.044,1959.747,4.578,1313.6329999999998,3.202,1767.3770000000002,4.023,2744.5570000000002,1.661,2423.8070000000002,2.471,1723.943,2.0
RBG1,2016-09-14,1.96,1631.766,4.56,1487.976,3.147,1503.5839999999998,4.029,2787.386,1.643,2827.99,2.464,1573.336,2.0
RBG1,2016-09-15,1.8459999999999999,1720.1629999999998,4.541,1284.261,3.16,1807.88,4.07,2836.688,1.652,2497.826,2.4419999999999997,1879.703,2.0
RBG1,2016-09-16,1.8940000000000001,1552.7060000000001,4.503,1239.175,3.2,1488.4370000000001,3.9760000000000004,2753.1209999999996,1.6130000000000002,2943.482,2.438,1771.4370000000001,2.0
RBG1,2016-09-19,1.9980000000000002,1510.5420000000001,4.497,1440.0020000000002,3.109,1357.604,4.056,2757.052,1.6480000000000001,2887.7470000000003,2.415,1750.3039999999999,2.0
RBG1,2016-09-20,1.841,1421.1470000000002,4.456,1317.418,3.123,1523.9979999999998,3.947,2793.908,1.673,2231.382,2.419,1888.254,2.0
RBG1,2016-09-21,1.854,1421.707,4.468999999999999,1264.135,3.085,1770.182,3.947,2829.0170000000003,1.633,3054.0640000000003,2.45,1663.9129999999998,2.0
RBG1,2016-09-22,1.845,1329.2820000000002,4.413,1160.453,3.076,1617.935,4.03,2822.542,1.643,2739.81,2.411,1727.32,2.0
RBG1,2016-09-23,1.861,1203.235,4.314,1126.144,3.07,1394.509,3.948,2646.445,1.577,2210.166,2.349,1390.636,2.0
RBG1,2016-09-26,1.848,1417.5829999999999,4.508,1207.819,3.102,1523.493,3.9930000000000003,2763.316,1.6769999999999998,2244.63,2.4290000000000003,1624.368,2.0
RBG1,2016-09-27,1.8719999999999999,1377.922,4.479,1307.07,3.161,1418.047,4.0,2737.8779999999997,1.625,2113.901,2.416,1578.527,2.0
RBG1,2016-09-28,1.996,1540.91,4.64,1406.645,3.179,1539.22,4.056,2705.797,1.68,3269.212,2.416,1604.355,2.0
RBG1,2016-09-29,1.906,1802.457,4.7010000000000005,1450.3110000000001,3.1210000000000004,1523.707,4.026,2703.625,1.6219999999999999,2761.067,2.419,1742.892,2.0
RBG1,2016-09-30,1.869,1712.6870000000001,4.6930000000000005,1446.642,3.082,1515.671,3.9619999999999997,2807.7259999999997,1.653,2887.244,2.4019999999999997,1851.629,2.0
RBG1,2016-10-01,1.776,1426.2079999999999,4.573,1289.788,3.159,1506.004,4.042,2530.87,1.649,3128.3190000000004,2.445,1738.361,2.0
