,drive_gear_V_eff,drive_gear_a_max,drive_motor_V_eff,drive_motor_a_max,drive_wheel_V_eff,drive_wheel_a_max,idle_wheel_V_eff,idle_wheel_a_max,lifting_gear_V_eff,lifting_gear_a_max,lifting_motor_V_eff,lifting_motor_a_max
drive_gear_V_eff,1.0,0.15339376351033374,0.7296847374033838,0.43089892743918584,0.9225097105893723,0.8322177102680309,0.9304562857787528,0.7326419783820062,-0.25462436394868954,0.036501881732761796,-0.08155804300824612,-0.06579875716018943
drive_gear_a_max,0.15339376351033374,1.0,0.20133413257246635,0.21620386077634265,0.08338389605429337,0.09849747229778727,0.09651578648714954,0.15138933818596143,0.03860354259956815,0.36441205775741786,0.2657105315671972,0.2639280878471168
drive_motor_V_eff,0.7296847374033838,0.20133413257246635,1.0,0.266760445113776,0.596194813421145,0.5720976117378247,0.5859162753388957,0.46307049422189617,0.03398681299610402,0.09138708519155181,0.0004426929602570154,-0.06716569519095153
drive_motor_a_max,0.43089892743918584,0.21620386077634265,0.266760445113776,1.0,0.4501336400534617,0.42074796306375856,0.4568650557598828,0.2962575757134403,-0.178622456785518,0.3043524281767465,0.1952803741683733,0.1985153467605498
drive_wheel_V_eff,0.9225097105893723,0.08338389605429337,0.596194813421145,0.4501336400534617,1.0,0.8790733596361116,0.9914253243461614,0.7159827570977743,-0.3780019225415656,-0.06305392982364737,-0.12880006908805192,-0.10398630669181234
drive_wheel_a_max,0.8322177102680309,0.09849747229778727,0.5720976117378247,0.42074796306375856,0.8790733596361116,1.0,0.8731481786789212,0.662733719440045,-0.29313099813011634,0.06531646758164082,-0.05423229221150043,-0.021803092421687178
idle_wheel_V_eff,0.9304562857787528,0.09651578648714954,0.5859162753388957,0.4568650557598828,0.9914253243461614,0.8731481786789212,1.0,0.7777812158280067,-0.3680801325424567,-0.057463805044271815,-0.12328807526631368,-0.09865387114860083
idle_wheel_a_max,0.7326419783820062,0.15138933818596143,0.46307049422189617,0.2962575757134403,0.7159827570977743,0.662733719440045,0.7777812158280067,1.0,-0.2978855181164723,0.010954691200918675,-0.04654276956685585,-0.03869982527090905
lifting_gear_V_eff,-0.25462436394868954,0.03860354259956815,0.03398681299610402,-0.178622456785518,-0.3780019225415656,-0.29313099813011634,-0.3680801325424567,-0.2978855181164723,1.0,0.011528870384919114,0.04386906313595931,-0.10373937928781694
lifting_gear_a_max,0.036501881732761796,0.36441205775741786,0.09138708519155181,0.3043524281767465,-0.06305392982364737,0.06531646758164082,-0.057463805044271815,0.010954691200918675,0.011528870384919114,1.0,0.6048693174844053,0.75333068242988
lifting_motor_V_eff,-0.08155804300824612,0.2657105315671972,0.0004426929602570154,0.1952803741683733,-0.12880006908805192,-0.05423229221150043,-0.12328807526631368,-0.04654276956685585,0.04386906313595931,0.6048693174844053,1.0,0.7675037057457882
lifting_motor_a_max,-0.06579875716018943,0.2639280878471168,-0.06716569519095153,0.1985153467605498,-0.10398630669181234,-0.021803092421687178,-0.09865387114860083,-0.03869982527090905,-0.10373937928781694,0.75333068242988,0.7675037057457882,1.0
