,drive_gear_V_eff,drive_gear_a_max,drive_motor_V_eff,drive_motor_a_max,drive_wheel_V_eff,drive_wheel_a_max,idle_wheel_V_eff,idle_wheel_a_max,lifting_gear_V_eff,lifting_gear_a_max,lifting_motor_V_eff,lifting_motor_a_max
drive_gear_V_eff,1.0,0.006784933560636505,0.728172599129457,-0.21435010364332438,0.23712135784687835,-0.15691912428727958,0.16241466189368176,0.0015113558184680436,0.010492669699318015,0.07459979931987179,-0.09259014204767482,-0.11872702743247919
drive_gear_a_max,0.006784933560636505,1.0,-0.04970331703192507,0.07478788368426001,0.25353083532835147,-0.10271225012128744,0.2336809026047591,0.12270578574455589,0.00815743274799817,-0.017294064814367096,-0.05680901694269287,-0.08624759528724742
drive_motor_V_eff,0.728172599129457,-0.04970331703192507,1.0,-0.20407937873405382,0.15847692809811192,-0.05206719399348766,0.10480935383973526,0.060264603389959426,-0.0027633397510305495,0.1450605033935823,-0.055300465040388214,-0.06121080534810036
drive_motor_a_max,-0.21435010364332438,0.07478788368426001,-0.20407937873405382,1.0,-0.22125654964394897,0.5671493639902855,-0.5589422163372472,0.24409701758328564,-0.04725962027339136,0.029178136485765595,0.4276778898936429,0.5095862901895888
drive_wheel_V_eff,0.23712135784687835,0.25353083532835147,0.15847692809811192,-0.22125654964394897,1.0,-0.17845056983818097,0.19213569712993328,-0.13479465346699565,0.2103820282669683,0.1113147790947794,-0.07935119503400163,-0.12250473353031953
drive_wheel_a_max,-0.15691912428727958,-0.10271225012128744,-0.05206719399348766,0.5671493639902855,-0.17845056983818097,1.0,-0.7279665953312944,0.3332755864304915,-0.07350410927403604,0.08788932181244878,0.5238363389064841,0.4066673413345407
idle_wheel_V_eff,0.16241466189368176,0.2336809026047591,0.10480935383973526,-0.5589422163372472,0.19213569712993328,-0.7279665953312944,1.0,-0.09322581677213035,0.05631922291161382,-0.056606794526915236,-0.41166843816830445,-0.3653930649069174
idle_wheel_a_max,0.0015113558184680436,0.12270578574455589,0.060264603389959426,0.24409701758328564,-0.13479465346699565,0.3332755864304915,-0.09322581677213035,1.0,-0.03325201022799812,0.015149802820224859,0.20133405880912236,0.2910243230803339
lifting_gear_V_eff,0.010492669699318015,0.00815743274799817,-0.0027633397510305495,-0.04725962027339136,0.2103820282669683,-0.07350410927403604,0.05631922291161382,-0.03325201022799812,1.0,0.018461755531243344,0.38676645890173567,-0.14361781083665595
lifting_gear_a_max,0.07459979931987179,-0.017294064814367096,0.1450605033935823,0.029178136485765595,0.1113147790947794,0.08788932181244878,-0.056606794526915236,0.015149802820224859,0.018461755531243344,1.0,0.07076016188660975,0.39767769377748685
lifting_motor_V_eff,-0.09259014204767482,-0.05680901694269287,-0.055300465040388214,0.4276778898936429,-0.07935119503400163,0.5238363389064841,-0.41166843816830445,0.20133405880912236,0.38676645890173567,0.07076016188660975,1.0,0.42929440076953057
lifting_motor_a_max,-0.11872702743247919,-0.08624759528724742,-0.06121080534810036,0.5095862901895888,-0.12250473353031953,0.4066673413345407,-0.3653930649069174,0.2910243230803339,-0.14361781083665595,0.39767769377748685,0.42929440076953057,1.0
